"Animal.ID","Name","DateTime","MonthYear","Found.Location","Intake.Type","Intake.Condition","Animal.Type","Sex.upon.Intake","Age.upon.Intake","Breed","Color"
"A725087","*Handsome","4/25/16 17:47","4/25/16 17:47","Austin (TX)","Owner Surrender","Normal","Cat","Neutered Male","2 years","Domestic Longhair Mix","White/Orange Tabby"
"A725088","","4/25/16 18:05","4/25/16 18:05","9704 Carson Creek Blvd in Del Valle (TX)","Stray","Normal","Cat","Intact Female","1 year","Domestic Shorthair Mix","Tortie"
"A725089","","4/25/16 18:05","4/25/16 18:05","9704 Carson Creek Blvd in Del Valle (TX)","Stray","Normal","Cat","Intact Female","1 weeks","Domestic Shorthair Mix","Tortie"
"A725090","","4/25/16 18:05","4/25/16 18:05","9704 Carson Creek Blvd in Del Valle (TX)","Stray","Normal","Cat","Intact Female","1 weeks","Domestic Shorthair Mix","Blue"
"A725092","","4/25/16 18:05","4/25/16 18:05","9704 Carson Creek Blvd in Del Valle (TX)","Stray","Normal","Cat","Intact Female","1 weeks","Domestic Shorthair Mix","Orange Tabby"
"A725093","","4/25/16 18:05","4/25/16 18:05","9704 Carson Creek Blvd in Del Valle (TX)","Stray","Normal","Cat","Intact Female","1 weeks","Domestic Shorthair Mix","Orange Tabby"
"A725091","*Delilah","4/25/16 18:22","4/25/16 18:22","E12Th And Chicon in Austin (TX)","Stray","Normal","Dog","Intact Female","1 year","German Shepherd Mix","Black/Brown"
"A725094","*Tennille","4/25/16 18:36","4/25/16 18:36","2510 Leon St in Austin (TX)","Stray","Normal","Cat","Intact Female","6 months","Domestic Shorthair Mix","Blue/White"
"A573717","Bella","4/25/16 18:57","4/25/16 18:57","5200 S Scout Island Cir in Austin (TX)","Stray","Normal","Dog","Spayed Female","6 years","Labrador Retriever/Border Collie","Black/White"
"A725102","","4/26/16 7:54","4/26/16 7:54","7905 San Felipe in Austin (TX)","Stray","Nursing","Cat","Intact Male","6 days","Domestic Shorthair Mix","Black"
"A725103","","4/26/16 7:54","4/26/16 7:54","7905 San Felipe in Austin (TX)","Stray","Nursing","Cat","Unknown","6 days","Domestic Shorthair Mix","Black"
"A725104","","4/26/16 7:54","4/26/16 7:54","7905 San Felipe in Austin (TX)","Stray","Nursing","Cat","Intact Female","6 days","Domestic Shorthair Mix","Gray"
"A725095","Aurora","4/26/16 8:06","4/26/16 8:06","2616 Salado St in Austin (TX)","Stray","Injured","Cat","Spayed Female","2 years","Domestic Shorthair Mix","Black"
"A725110","Chula","4/26/16 8:15","4/26/16 8:15","W Lakeview Dr & Jonestown in Jonestown (TX)","Stray","Injured","Dog","Intact Female","6 years","Chihuahua Shorthair Mix","Tan/Black"
"A725115","*Grimsby","4/26/16 11:01","4/26/16 11:01","Matthews Ln And Crosswood Dr in Austin (TX)","Stray","Normal","Dog","Intact Male","2 years","Pointer Mix","White/Black"
"A714492","Emma Lou","4/26/16 11:04","4/26/16 11:04","Austin (TX)","Owner Surrender","Normal","Dog","Spayed Female","2 years","Siberian Husky Mix","Sable"
"A725123","Cloud","4/26/16 11:27","4/26/16 11:27","2200 New York Ave in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Siamese Mix","Seal Point"
"A725124","Payton","4/26/16 11:27","4/26/16 11:27","2200 New York Ave in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Siamese Mix","Seal Point"
"A725125","Lucy","4/26/16 11:27","4/26/16 11:27","2200 New York Ave in Austin (TX)","Stray","Normal","Cat","Intact Female","3 weeks","Domestic Shorthair Mix","Tortie"
"A725126","","4/26/16 11:27","4/26/16 11:27","2200 New York Ave in Austin (TX)","Stray","Normal","Cat","Intact Female","2 years","Siamese Mix","Blue Point"
"A725128","Abby","4/26/16 11:38","4/26/16 11:38","Austin (TX)","Owner Surrender","Normal","Dog","Intact Female","1 year","Pit Bull Mix","Black/White"
"A725130","*Reuben","4/26/16 12:02","4/26/16 12:02","15519 Belafonte Blvd in Austin (TX)","Stray","Normal","Dog","Intact Male","11 months","German Shepherd Mix","Black"
"A725133","Gus","4/26/16 12:15","4/26/16 12:15","15310 Fagerquist Rd in Del Valle (TX)","Stray","Normal","Dog","Intact Male","7 months","Australian Cattle Dog/Australian Shepherd","White/Tan"
"A725135","*Hazel Grace","4/26/16 12:21","4/26/16 12:21","15310 Fagerquist Rd in Del Valle (TX)","Stray","Normal","Dog","Intact Female","7 months","Australian Cattle Dog/Australian Shepherd","Tricolor/Black"
"A725137","Cleo","4/26/16 12:42","4/26/16 12:42","Austin (TX)","Owner Surrender","Normal","Dog","Intact Female","13 years","Pomeranian Mix","Tricolor"
"A725138","*Misty","4/26/16 12:50","4/26/16 12:50","1202 Dessau Rd in Austin (TX)","Stray","Normal","Dog","Intact Female","1 month","Weimaraner Mix","Blue/White"
"A725140","Twinkie","4/26/16 13:03","4/26/16 13:03","620 W O'Dell in Austin (TX)","Stray","Normal","Dog","Neutered Male","12 years","Chihuahua Shorthair Mix","Tan"
"A725141","Rex","4/26/16 13:05","4/26/16 13:05","5701 Johnny Morris in Austin (TX)","Stray","Normal","Dog","Intact Male","1 month","Pit Bull Mix","White/Black"
"A725142","","4/26/16 13:06","4/26/16 13:06","1515 Wickersham Ln in Austin (TX)","Stray","Normal","Cat","Spayed Female","3 years","Domestic Shorthair Mix","Orange Tabby"
"A725144","","4/26/16 13:24","4/26/16 13:24","3448 Willow Rund in Austin (TX)","Stray","Normal","Cat","Unknown","2 weeks","Domestic Shorthair Mix","Blue Tabby"
"A725145","","4/26/16 13:24","4/26/16 13:24","3448 Willow Rund in Austin (TX)","Stray","Normal","Cat","Unknown","2 weeks","Domestic Medium Hair Mix","Blue Tabby"
"A725146","","4/26/16 13:24","4/26/16 13:24","3448 Willow Rund in Austin (TX)","Stray","Normal","Cat","Unknown","2 weeks","Domestic Medium Hair Mix","Blue Tabby"
"A725147","","4/26/16 13:24","4/26/16 13:24","3448 Willow Rund in Austin (TX)","Stray","Normal","Cat","Unknown","2 weeks","Domestic Medium Hair Mix","Blue Tabby"
"A725148","","4/26/16 13:24","4/26/16 13:24","3448 Willow Rund in Austin (TX)","Stray","Normal","Cat","Unknown","2 weeks","Domestic Medium Hair Mix","Blue Tabby"
"A725143","*Hazel","4/26/16 13:26","4/26/16 13:26","5312 Pappertree in Austin (TX)","Stray","Normal","Dog","Intact Female","1 year","Australian Cattle Dog/Bull Terrier","White/Black Brindle"
"A725149","Halloween","4/26/16 13:47","4/26/16 13:47","Austin (TX)","Owner Surrender","Normal","Cat","Spayed Female","7 years","Domestic Shorthair Mix","Black"
"A725150","Khaleesi","4/26/16 13:48","4/26/16 13:48","4402 Nixon Ln in Austin (TX)","Stray","Normal","Cat","Intact Female","2 weeks","Domestic Shorthair Mix","Calico"
"A725151","Podrick","4/26/16 13:48","4/26/16 13:48","4402 Nixon Ln in Austin (TX)","Stray","Normal","Cat","Intact Male","2 weeks","Domestic Shorthair Mix","Orange Tabby"
"A725152","*Carlo","4/26/16 13:48","4/26/16 13:48","4402 Nixon Ln in Austin (TX)","Stray","Normal","Cat","Intact Male","2 weeks","Domestic Shorthair Mix","Black"
"A725153","*Giovanni","4/26/16 13:48","4/26/16 13:48","4402 Nixon Ln in Austin (TX)","Stray","Normal","Cat","Intact Male","2 weeks","Domestic Shorthair Mix","Blue/White"
"A725154","","4/26/16 14:01","4/26/16 14:01","Teri Rd And S Pleasant Valley in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Domestic Shorthair Mix","White/Orange Tabby"
"A669680","Nino","4/26/16 14:14","4/26/16 14:14","Austin (TX)","Public Assist","Normal","Dog","Neutered Male","4 years","Plott Hound Mix","Brown Brindle/White"
"A725155","Shiloh","4/26/16 14:15","4/26/16 14:15","Clawson Rd & Southridge Dr in Austin (TX)","Stray","Normal","Dog","Spayed Female","7 years","Greyhound/Saluki","Tan"
"A725156","*Maggie","4/26/16 14:32","4/26/16 14:32","9822 Thaxton Rd in Austin (TX)","Stray","Normal","Cat","Intact Female","3 weeks","Domestic Shorthair Mix","White/Blue"
"A725157","*Michonne","4/26/16 14:32","4/26/16 14:32","9822 Thaxton Rd in Austin (TX)","Stray","Normal","Cat","Intact Female","3 weeks","Domestic Shorthair Mix","Black/White"
"A725158","*Oscar","4/26/16 14:32","4/26/16 14:32","9822 Thaxton Rd in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Domestic Shorthair Mix","Black/White"
"A725159","*Monkey Toes","4/26/16 14:32","4/26/16 14:32","9822 Thaxton Rd in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Domestic Shorthair Mix","Black"
"A725160","*Normal Toes","4/26/16 14:32","4/26/16 14:32","9822 Thaxton Rd in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Domestic Shorthair Mix","Black"
"A725161","*Snow Shoe","4/26/16 14:32","4/26/16 14:32","9822 Thaxton Rd in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Domestic Shorthair Mix","Black"
"A705085","Zelda","4/26/16 14:48","4/26/16 14:48","9103 Little Walnut Pkwy in Austin (TX)","Stray","Normal","Dog","Spayed Female","4 years","Labrador Retriever Mix","Chocolate"
"A725162","Goldie","4/26/16 14:51","4/26/16 14:51","Austin (TX)","Owner Surrender","Normal","Dog","Spayed Female","12 years","Pembroke Welsh Corgi Mix","Yellow/White"
"A725163","","4/26/16 15:03","4/26/16 15:03","3901 Red River St in Austin (TX)","Stray","Normal","Cat","Unknown","6 days","Domestic Shorthair Mix","Black/White"
"A725164","*Lefty","4/26/16 15:12","4/26/16 15:12","7201 Levander Loop in Austin (TX)","Stray","Normal","Dog","Intact Female","2 months","Dachshund Mix","Black/Tan"
"A725171","*Ralphie","4/26/16 15:22","4/26/16 15:22","6101 Airport Blvd in Austin (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","Orange Tabby"
"A725166","*Margot","4/26/16 15:24","4/26/16 15:24","2307 Ventura Dr in Austin (TX)","Stray","Normal","Cat","Intact Female","1 year","Domestic Shorthair Mix","Brown Tabby"
"A725167","*Herman","4/26/16 15:24","4/26/16 15:24","2307 Ventura Dr in Austin (TX)","Stray","Normal","Cat","Intact Male","4 weeks","Domestic Shorthair Mix","Blue Tabby/White"
"A725168","*Chief","4/26/16 15:24","4/26/16 15:24","2307 Ventura Dr in Austin (TX)","Stray","Normal","Cat","Intact Male","4 weeks","Domestic Shorthair Mix","Blue/White"
"A725169","Socks","4/26/16 15:24","4/26/16 15:24","2307 Ventura Dr in Austin (TX)","Stray","Normal","Cat","Intact Male","4 weeks","Domestic Shorthair Mix","Black/White"
"A725170","*Inca","4/26/16 15:24","4/26/16 15:24","2307 Ventura Dr in Austin (TX)","Stray","Normal","Cat","Intact Male","4 weeks","Domestic Shorthair Mix","Black"
"A725172","","4/26/16 15:41","4/26/16 15:41","2823 San Pedro St in Austin (TX)","Stray","Normal","Cat","Intact Female","1 year","Domestic Shorthair Mix","Blue Tabby"
"A724765","Bella","4/26/16 15:46","4/26/16 15:46","Austin (TX)","Owner Surrender","Normal","Dog","Intact Female","7 months","Pit Bull Mix","Brown"
"A725181","","4/26/16 16:31","4/26/16 16:31","1130 Airport Blvd in Austin (TX)","Stray","Normal","Dog","Intact Male","3 days","Pit Bull Mix","White/Black"
"A725186","*Magnolia","4/26/16 16:55","4/26/16 16:55","Burnet St And East Townes St in Travis (TX)","Stray","Normal","Dog","Intact Female","1 month","Catahoula Mix","Brown Merle/Tan"
"A725187","*Beau","4/26/16 16:55","4/26/16 16:55","Burnet St And East Townes St in Travis (TX)","Stray","Normal","Dog","Intact Male","1 month","Catahoula Mix","Brown Merle/Tan"
"A725207","","4/26/16 17:42","4/26/16 17:42","6900 Brodie Ln in Austin (TX)","Stray","Normal","Cat","Unknown","3 days","Domestic Shorthair Mix","Orange Tabby"
"A725200","Hippy","4/26/16 17:43","4/26/16 17:43","Yaupon Dr And Swan Valley Ln in Austin (TX)","Stray","Normal","Dog","Neutered Male","10 years","Border Terrier Mix","White"
"A725217","","4/26/16 18:24","4/26/16 18:24","Austin (TX)","Stray","Injured","Other","Unknown","4 weeks","Rabbit Sh Mix","Gray"
"A725240","*Cap'N Jack","4/27/16 7:19","4/27/16 7:19","4616 Edge Creek/ Barkdale in Austin (TX)","Stray","Normal","Cat","Intact Male","1 year","Domestic Shorthair Mix","Brown Tabby"
"A725235","*Daisy","4/27/16 7:31","4/27/16 7:31","6009 Constellation in Austin (TX)","Stray","Injured","Dog","Intact Female","1 year","Dachshund Wirehair Mix","Brown/Red"
"A725241","","4/27/16 7:37","4/27/16 7:37","Polk Rd in Austin (TX)","Stray","Nursing","Cat","Unknown","4 weeks","Domestic Medium Hair Mix","Gray Tabby/White"
"A725242","","4/27/16 7:37","4/27/16 7:37","Polk Rd in Austin (TX)","Stray","Nursing","Cat","Unknown","4 weeks","Domestic Medium Hair Mix","Gray Tabby/White"
"A725243","","4/27/16 7:37","4/27/16 7:37","Polk Rd in Austin (TX)","Stray","Nursing","Cat","Unknown","4 weeks","Domestic Medium Hair Mix","Gray Tabby/White"
"A725244","","4/27/16 7:37","4/27/16 7:37","Polk Rd in Austin (TX)","Stray","Nursing","Cat","Unknown","4 weeks","Domestic Medium Hair Mix","Gray Tabby/White"
"A725245","","4/27/16 9:01","4/27/16 9:01","18000 Blake Manor Rd in Travis (TX)","Stray","Injured","Dog","Neutered Male","3 years","German Shepherd Mix","White/Black"
"A725246","","4/27/16 9:39","4/27/16 9:39","Austin (TX)","Stray","Injured","Cat","Intact Male","3 years","Domestic Medium Hair Mix","Black"
"A725247","","4/27/16 9:44","4/27/16 9:44","Austin (TX)","Wildlife","Injured","Other","Unknown","2 years","Opossum Mix","Gray/Black"
"A725249","Trinity","4/27/16 10:38","4/27/16 10:38","S Pleasant Valley And E St Elmo Rd in Austin (TX)","Stray","Normal","Dog","Spayed Female","6 years","Labrador Retriever Mix","Black"
"A673902","Bullet","4/27/16 11:01","4/27/16 11:01","Springdale Rd And 183 Ln in Austin (TX)","Stray","Normal","Dog","Intact Male","3 years","Doberman Pinsch Mix","Fawn"
"A725252","*Jasmine","4/27/16 11:06","4/27/16 11:06","Gunter St & Hidalgo St in Austin (TX)","Stray","Normal","Cat","Intact Female","6 months","Domestic Shorthair Mix","Torbie/White"
"A574026","*Louie","4/27/16 11:13","4/27/16 11:13","505 Swanee Dr Apt 102 in Austin (TX)","Stray","Normal","Cat","Neutered Male","6 years","Domestic Shorthair Mix","White/Orange Tabby"
"A574029","*Louise","4/27/16 11:13","4/27/16 11:13","505 Swanee Dr Apt 102 in Austin (TX)","Stray","Normal","Cat","Spayed Female","7 years","Domestic Shorthair Mix","Calico"
"A724453","*Scooter","4/27/16 11:14","4/27/16 11:14","Austin (TX)","Owner Surrender","Normal","Dog","Neutered Male","6 months","Black Mouth Cur Mix","Brown"
"A725254","*Ginny","4/27/16 11:25","4/27/16 11:25","11613 N Ranch To Market 620 in Austin (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","Calico"
"A725260","Charlie","4/27/16 11:27","4/27/16 11:27","2200 New York Ave in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Domestic Medium Hair Mix","Brown Tabby/White"
"A725261","*Crispin","4/27/16 11:27","4/27/16 11:27","2200 New York Ave in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Domestic Shorthair Mix","Black/White"
"A698274","*Temple","4/27/16 11:33","4/27/16 11:33","6001 Airport Blvd in Austin (TX)","Stray","Normal","Dog","Spayed Female","4 years","Rat Terrier Mix","White/Black"
"A725258","Mellow","4/27/16 11:47","4/27/16 11:47","Austin (TX)","Stray","Normal","Dog","Intact Male","3 years","Doberman Pinsch Mix","Brown"
"A725256","","4/27/16 11:51","4/27/16 11:51","7536 Compass Dr in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Domestic Shorthair Mix","Orange Tabby/White"
"A725257","Dodger","4/27/16 11:56","4/27/16 11:56","5900 Clementine Ln in Austin (TX)","Stray","Normal","Dog","Intact Male","2 years","German Shepherd Mix","Black/Tan"
"A725259","*Crookshanks","4/27/16 12:21","4/27/16 12:21","7613 Bethune Ave in Austin (TX)","Stray","Injured","Cat","Intact Male","5 years","Domestic Medium Hair Mix","Blue"
