"lat","lng","total","bird","cat","dog","livestock","other","year2013","year2014","year2015","year2016","Jan","Feb","Mar","Apr","May","June","July","Aug","Sep","Oct","Nov","Dec","hour0","hour1","hour2","hour3","hour4","hour5","hour6","hour7","hour8","hour9","hour10","hour11","hour12","hour13","hour14","hour15","hour16","hour17","hour18","hour19","hour20","hour21","hour22","hour23"
30.18125,-97.9242,25,0,10,11,0,4,0,14,5,6,0,2,5,5,3,0,2,2,0,0,3,3,0,0,0,1,0,0,0,1,0,0,1,2,6,1,2,3,1,1,6,0,0,0,0,0
30.20375,-97.9242,7,0,0,4,0,3,0,5,0,2,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,1,0,0,0,0,0,0
30.22625,-97.9242,5,0,2,3,0,0,0,0,2,3,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0
30.24875,-97.9242,26,0,16,10,0,0,5,4,5,12,0,1,2,1,0,5,6,0,2,3,1,5,0,0,0,0,0,0,0,0,1,0,1,3,5,7,5,0,4,0,0,0,0,0,0,0
30.27125,-97.9242,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30.18125,-97.9086,8,0,3,3,0,2,0,2,5,1,1,0,0,1,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,1,1,0,0,0,0,0,0
30.20375,-97.9086,8,0,2,4,0,2,1,0,4,3,0,0,0,0,1,1,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3,0,1,0,0,0,0,0,0,0
30.22625,-97.9086,33,0,20,13,0,0,1,7,16,9,1,1,2,0,6,3,2,2,4,5,6,1,0,0,0,0,0,0,0,0,0,0,0,7,2,8,6,0,8,1,0,1,0,0,0,0
30.24875,-97.9086,31,0,18,13,0,0,5,4,13,9,0,2,0,2,1,11,4,1,3,2,1,4,0,0,0,0,0,0,0,0,4,0,0,5,4,6,0,4,2,6,0,0,0,0,0,0
30.27125,-97.9086,3,0,0,3,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
30.18125,-97.893,25,1,14,4,0,6,0,17,3,5,0,9,3,3,3,2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,5,11,2,1,0,0,0,0,0,0,0
30.20375,-97.893,18,1,5,8,0,4,0,10,4,4,0,1,4,2,1,0,1,3,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,1,3,3,3,0,0,0,0,1
30.22625,-97.893,128,0,83,41,0,4,2,36,16,74,4,10,2,5,16,1,4,51,6,18,6,5,2,0,0,0,0,0,0,0,1,2,10,29,13,12,23,10,16,7,1,0,1,0,1,0
30.24875,-97.893,94,2,46,37,0,9,8,23,28,35,9,9,1,7,7,13,2,8,2,15,18,3,1,0,0,0,0,0,0,3,1,1,1,8,17,10,6,4,15,8,12,3,2,0,1,1
30.27125,-97.893,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30.18125,-97.8774,14,0,5,7,0,2,1,9,3,1,0,0,0,2,0,0,3,0,2,4,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,3,1,1,3,0,0,0,0,0,0
30.20375,-97.8774,47,0,31,14,0,2,5,7,14,21,1,1,8,6,1,6,1,2,4,7,7,3,0,1,0,0,0,0,0,1,0,0,0,7,9,11,3,7,5,0,2,0,0,1,0,0
30.22625,-97.8774,151,1,85,55,0,10,9,65,30,47,9,8,8,15,30,5,20,11,15,14,5,11,0,0,0,0,1,0,1,1,0,1,5,37,22,26,10,20,13,8,2,1,1,2,0,0
30.24875,-97.8774,62,0,16,43,0,3,3,26,20,13,5,2,3,4,6,6,6,7,10,6,2,5,0,0,0,0,2,0,0,0,1,1,6,8,5,7,5,7,10,3,4,1,1,0,1,0
30.27125,-97.8774,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30.18125,-97.8618,19,0,7,7,0,5,1,13,2,3,0,5,2,2,0,1,2,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,1,1,1,5,3,3,4,0,1,0,0,0,0,0
30.20375,-97.8618,85,0,39,43,0,3,9,25,33,18,2,3,6,2,12,13,3,5,6,16,9,8,0,0,0,0,0,0,0,2,3,0,1,17,15,16,3,9,8,6,3,0,0,0,1,1
30.22625,-97.8618,78,0,28,41,0,9,3,13,34,28,4,1,6,5,2,4,18,3,14,7,7,7,0,0,0,0,0,0,0,0,1,0,5,24,6,3,8,12,12,1,5,0,0,1,0,0
30.24875,-97.8618,19,0,2,14,0,3,2,9,5,3,2,2,4,0,0,2,0,2,1,3,1,2,0,0,0,0,0,0,0,0,3,0,0,1,4,5,1,1,0,0,0,0,1,1,0,2
30.27125,-97.8618,5,0,2,2,0,1,0,0,3,2,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0
30.18125,-97.8462,119,0,46,63,0,10,7,35,43,34,7,6,11,7,14,10,8,4,15,21,7,9,0,0,0,0,1,0,0,2,2,2,6,18,16,11,16,21,8,3,4,0,2,3,1,3
30.20375,-97.8462,155,1,78,71,1,4,14,35,67,39,9,12,11,11,9,26,8,4,20,18,21,6,0,0,0,0,0,0,1,3,3,0,2,13,28,13,26,27,15,13,9,1,0,0,0,1
30.22625,-97.8462,143,0,77,61,0,5,17,55,40,31,4,4,7,8,15,26,11,17,15,19,13,4,0,0,0,0,0,0,0,6,4,1,2,27,24,13,15,8,22,11,6,1,1,0,1,1
30.24875,-97.8462,14,0,4,8,0,2,4,4,3,3,0,1,1,1,3,0,0,0,1,3,2,2,0,0,0,0,0,0,0,0,2,0,0,2,0,2,3,3,0,2,0,0,0,0,0,0
