"source","target","value"
"I.Bird","I.IntactFemale",21
"I.Cat","I.IntactFemale",8091
"I.Dog","I.IntactFemale",10358
"I.Livestock","I.IntactFemale",2
"I.OtherType","I.IntactFemale",157
"I.Bird","I.IntactMale",84
"I.Cat","I.IntactMale",7635
"I.Dog","I.IntactMale",12249
"I.Livestock","I.IntactMale",2
"I.OtherType","I.IntactMale",192
"I.Bird","I.NeuteredMale",0
"I.Cat","I.NeuteredMale",2742
"I.Dog","I.NeuteredMale",10582
"I.Livestock","I.NeuteredMale",1
"I.OtherType","I.NeuteredMale",27
"I.Bird","I.Null",0
"I.Cat","I.Null",0
"I.Dog","I.Null",1
"I.Livestock","I.Null",0
"I.OtherType","I.Null",0
"I.Bird","I.SpayedFemale",0
"I.Cat","I.SpayedFemale",2669
"I.Dog","I.SpayedFemale",8807
"I.Livestock","I.SpayedFemale",0
"I.OtherType","I.SpayedFemale",25
"I.Bird","I.Unknown",123
"I.Cat","I.Unknown",2116
"I.Dog","I.Unknown",169
"I.Livestock","I.Unknown",2
"I.OtherType","I.Unknown",2680
"I.IntactFemale","I.YoungerThan1YearOld",13766
"I.IntactMale","I.YoungerThan1YearOld",14101
"I.NeuteredMale","I.YoungerThan1YearOld",3831
"I.Null","I.YoungerThan1YearOld",0
"I.SpayedFemale","I.YoungerThan1YearOld",3618
"I.Unknown","I.YoungerThan1YearOld",4100
"I.IntactFemale","I.OlderThan6YearsOld",596
"I.IntactMale","I.OlderThan6YearsOld",710
"I.NeuteredMale","I.OlderThan6YearsOld",2621
"I.Null","I.OlderThan6YearsOld",1
"I.SpayedFemale","I.OlderThan6YearsOld",2322
"I.Unknown","I.OlderThan6YearsOld",27
"I.IntactFemale","I.1to3YearsOld",3379
"I.IntactMale","I.1to3YearsOld",4156
"I.NeuteredMale","I.1to3YearsOld",3970
"I.Null","I.1to3YearsOld",0
"I.SpayedFemale","I.1to3YearsOld",3359
"I.Unknown","I.1to3YearsOld",891
"I.IntactFemale","I.3to6YearsOld",888
"I.IntactMale","I.3to6YearsOld",1195
"I.NeuteredMale","I.3to6YearsOld",2930
"I.Null","I.3to6YearsOld",0
"I.SpayedFemale","I.3to6YearsOld",2202
"I.Unknown","I.3to6YearsOld",72
"I.YoungerThan1YearOld","I.Black",3560
"I.OlderThan6YearsOld","I.Black",433
"I.1to3YearsOld","I.Black",905
"I.3to6YearsOld","I.Black",434
"I.YoungerThan1YearOld","I.BlacknWhite",4443
"I.OlderThan6YearsOld","I.BlacknWhite",615
"I.1to3YearsOld","I.BlacknWhite",1650
"I.3to6YearsOld","I.BlacknWhite",667
"I.YoungerThan1YearOld","I.Brown",1580
"I.OlderThan6YearsOld","I.Brown",229
"I.1to3YearsOld","I.Brown",703
"I.3to6YearsOld","I.Brown",222
"I.YoungerThan1YearOld","I.BrownnTabby",2758
"I.OlderThan6YearsOld","I.BrownnTabby",164
"I.1to3YearsOld","I.BrownnTabby",414
"I.3to6YearsOld","I.BrownnTabby",139
"I.YoungerThan1YearOld","I.BrownnWhite",1074
"I.OlderThan6YearsOld","I.BrownnWhite",250
"I.1to3YearsOld","I.BrownnWhite",827
