lat,lng,location
30.360187,-97.722127,8401 Kimble Cv in Austin (TX)
30.3673302,-97.6946069,N Lamar & Longsour in Austin (TX)
30.309724,-97.707385,1200 E 52Nd St in Austin (TX)
30.336605,-97.707053,300 Croslin St in Austin (TX)
30.267153,-97.7430608,Austin (TX)
30.2292939,-97.7132427,5309 E Riverside Dr in Austin (TX)
30.2280101,-97.7014946,Montopolis & Fairway in Austin (TX)
30.2143501,-97.7096916,2901 Montopolis Dr in Austin (TX)
30.2356879,-97.7030084,1101 Grove Blvd in Austin (TX)
30.220152,-97.708415,2500 Montopolis Dr in Austin (TX)
30.262907,-97.686525,1104 Desirable Dr in Austin (TX)
30.2740168,-97.6901542,Ledesma Rd And Springdale in Austin (TX)
30.270433,-97.685174,1132 Garland in Austin (TX)
30.2715873,-97.6814569,1000 Blk Lott Ave in Austin (TX)
30.2719267,-97.6856149,Ledesma Rd And Richardine Ave in Austin (TX)
30.268819,-97.692828,4604 Alf Ave in Austin (TX)
30.272088,-97.730842,12Th/Ih-35 in Austin (TX)
30.273604,-97.71615,2206 New York Avenue in Austin (TX)
30.2711627,-97.7307254,902 Olive St in Austin (TX)
30.2768544,-97.7003386,Airport Blvd And E 12Th St in Austin (TX)
30.2624782,-97.7038536,Tillary And Lyons in Austin (TX)
30.267153,-97.7430608,Lyons Rd/Tillery St in Austin (TX)
30.2574528,-97.7064263,638 Tillery in Austin (TX)
30.2516962,-97.7087877,Tillery And Ceasar Chavez in Austin (TX)
30.260624,-97.705735,3101 Prado in Austin (TX)
30.2592525,-97.7052467,711 Tillery Street in Austin (TX)
30.335922,-97.716039,7000 Guadalupe St in Austin (TX)
30.269746,-97.7592909,1156 W. Cesar Chavez in Austin (TX)
30.337577,-97.7188216,Airport Blvd And N Lamar in Austin (TX)
30.1791939,-97.8410243,Slaughter And Westgate in Austin (TX)
30.1827502,-97.8470139,3328 W Slaughter in Austin (TX)
30.1754406,-97.8300807,2417 W. Slaughter Ln in Austin (TX)
30.1773634,-97.8392981,Jadewood Ct And Lindshire Ln in Austin (TX)
31.1354588,-97.0027678,Travis (TX)
30.213939,-97.6378,2421 Elara Drive in Travis (TX)
30.216527,-97.637112,2100 Elara in Travis (TX)
30.2253292,-97.631927,Fm 973 And Garden Grove in Austin (TX)
30.2303391,-97.7880671,Manchaca & Ben White in Austin (TX)
30.2004459,-97.8145908,Greenland And Whispering Winds in Austin (TX)
30.4351319,-97.7683875,7404 Mcneil Drive in Austin (TX)
30.2065815,-97.8165669,2701 W Wm Cannon in Austin (TX)
30.2875348,-97.6604314,969/ Regency Dr in Austin (TX)
30.291833,-97.6624273,5315 Ed Bluestein in Austin (TX)
30.421714,-97.6658816,W Howard Ln & The Lakes Blvd in Austin (TX)
30.232558,-97.784719,4006 Garden View in Austin (TX)
30.289857,-97.659738,5403 Garden View Cove in Austin (TX)
30.3072517,-97.6781392,6103 Manor #133 in Austin (TX)
30.1317817,-97.7837592,Marion Cricket And Pinehurst in Austin (TX)
30.2188576,-97.6911201,Ben White And Riverside in Austin (TX)
30.2568929,-97.7270624,Willow St in Austin (TX)
30.267153,-97.7430608,Colton Bluff Springs Rd/Salt Springs Dr in Austin (TX)
30.23864,-97.577989,15300 Lucian St in Austin (TX)
30.3075066,-97.8814148,1314 Patterson Rd in Austin (TX)
30.3030581,-97.8843811,9201 Scenic Bluff Dr in Travis (TX)
30.2842224,-97.8752922,Lost Creek And Barton Creek Blvd in Austin (TX)
30.2314364,-97.7957763,4434 Frontier Trl in Austin (TX)
30.3030581,-97.8843811,9201 Scenic Bluff Dr in Austin (TX)
30.2576,-97.7001279,755 Springdale Road in Austin (TX)
30.2592327,-97.7002459,812 Springdale in Austin (TX)
30.2554633,-97.6978077,4900 Gonzales St in Austin (TX)
30.2681311,-97.7263447,E 11Th St & Navasota St in Austin (TX)
30.2592327,-97.7002459,812 Springdale Rd in Austin (TX)
30.2560948,-97.699042,Gonzales St & Mansell Ave in Austin (TX)
30.1919,-97.744959,5510 South Pleasent Valley in Austin (TX)
30.197438,-97.811719,2109 Trede Drive in Austin (TX)
