"age","animalType","stayDuration","count"
1,"Cat",3.67361111111111,294
1,"Dog",2.17430555555556,2412
2,"Cat",3.93125,164
2,"Dog",2.66319444444444,1708
3,"Cat",2.978125,90
3,"Dog",2.19097222222222,1045
4,"Cat",2.13541666666667,76
4,"Dog",2.30902777777778,648
5,"Cat",2.69027777777778,59
5,"Dog",1.98159722222222,612
6,"Cat",5.3375,41
6,"Dog",2.02708333333333,432
7,"Cat",4.10625,34
7,"Dog",1.76388888888889,388
8,"Cat",4.22881944444445,22
8,"Dog",1.64791666666667,328
9,"Cat",4.08888888888889,21
9,"Dog",2.07708333333333,191
10,"Cat",2.86180555555556,32
10,"Dog",1.62430555555556,207
11,"Cat",3.04027777777778,9
11,"Dog",1.16458333333333,103
12,"Cat",2.78645833333333,18
12,"Dog",1.26597222222222,125
13,"Cat",2.73680555555556,15
13,"Dog",1.12916666666667,91
14,"Cat",3.37256944444444,10
14,"Dog",1.09722222222222,69
15,"Cat",2.19548611111111,8
15,"Dog",1.20486111111111,47
16,"Cat",5.99930555555556,7
16,"Dog",1.02222222222222,23
17,"Cat",3.00694444444444,7
17,"Dog",0.845833333333333,7
18,"Cat",9.92361111111111,1
18,"Dog",1.07847222222222,7
19,"Dog",1.38055555555556,3
20,"Cat",1.29375,2
22,"Cat",2.21944444444444,2
