"dmy","animalType","count"
"01/01/2014","Cat",367
"01/01/2015","Cat",339
"01/01/2016","Cat",398
"01/02/2014","Cat",266
"01/02/2015","Cat",262
"01/02/2016","Cat",287
"01/03/2014","Cat",336
"01/03/2015","Cat",308
"01/03/2016","Cat",306
"01/04/2014","Cat",448
"01/04/2015","Cat",427
"01/04/2016","Cat",485
"01/05/2014","Cat",622
"01/05/2015","Cat",698
"01/05/2016","Cat",618
"01/06/2014","Cat",804
"01/06/2015","Cat",979
"01/06/2016","Cat",714
"01/07/2014","Cat",1046
"01/07/2015","Cat",976
"01/07/2016","Cat",767
"01/08/2014","Cat",808
"01/08/2015","Cat",815
"01/08/2016","Cat",693
"01/09/2014","Cat",687
"01/09/2015","Cat",731
"01/09/2016","Cat",752
"01/10/2013","Cat",607
"01/10/2014","Cat",598
"01/10/2015","Cat",690
"01/10/2016","Cat",352
"01/11/2013","Cat",443
"01/11/2014","Cat",519
"01/11/2015","Cat",620
"01/12/2013","Cat",555
"01/12/2014","Cat",434
"01/12/2015","Cat",494
"01/01/2014","Dog",860
"01/01/2015","Dog",828
"01/01/2016","Dog",851
"01/02/2014","Dog",774
"01/02/2015","Dog",820
"01/02/2016","Dog",799
"01/03/2014","Dog",917
"01/03/2015","Dog",800
"01/03/2016","Dog",857
"01/04/2014","Dog",847
"01/04/2015","Dog",842
"01/04/2016","Dog",775
"01/05/2014","Dog",919
"01/05/2015","Dog",1084
"01/05/2016","Dog",973
"01/06/2014","Dog",854
"01/06/2015","Dog",921
"01/06/2016","Dog",839
"01/07/2014","Dog",959
"01/07/2015","Dog",860
"01/07/2016","Dog",844
"01/08/2014","Dog",924
"01/08/2015","Dog",833
"01/08/2016","Dog",756
"01/09/2014","Dog",887
"01/09/2015","Dog",816
"01/09/2016","Dog",815
"01/10/2013","Dog",944
"01/10/2014","Dog",855
"01/10/2015","Dog",786
"01/10/2016","Dog",539
"01/11/2013","Dog",825
"01/11/2014","Dog",860
"01/11/2015","Dog",882
"01/12/2013","Dog",891
"01/12/2014","Dog",965
"01/12/2015","Dog",798
"01/01/2014","Other",58
"01/01/2015","Other",30
"01/01/2016","Other",49
"01/02/2014","Other",95
"01/02/2015","Other",41
"01/02/2016","Other",56
"01/03/2014","Other",228
"01/03/2015","Other",134
"01/03/2016","Other",207
"01/04/2014","Other",115
"01/04/2015","Other",107
"01/04/2016","Other",77
"01/05/2014","Other",84
"01/05/2015","Other",84
"01/05/2016","Other",91
"01/06/2014","Other",89
"01/06/2015","Other",72
"01/06/2016","Other",71
"01/07/2014","Other",74
"01/07/2015","Other",61
"01/07/2016","Other",60
"01/08/2014","Other",115
"01/08/2015","Other",88
"01/08/2016","Other",81
"01/09/2014","Other",75
"01/09/2015","Other",52
"01/09/2016","Other",84
"01/10/2013","Other",81
"01/10/2014","Other",69
"01/10/2015","Other",89
"01/10/2016","Other",48
"01/11/2013","Other",66
"01/11/2014","Other",44
"01/11/2015","Other",54
"01/12/2013","Other",86
"01/12/2014","Other",51
"01/12/2015","Other",39
"01/01/2014","Bird",0
"01/01/2015","Bird",4
"01/01/2016","Bird",6
"01/02/2014","Bird",2
"01/02/2015","Bird",1
"01/02/2016","Bird",3
"01/03/2014","Bird",6
"01/03/2015","Bird",4
"01/03/2016","Bird",52
"01/04/2014","Bird",5
"01/04/2015","Bird",5
"01/04/2016","Bird",13
"01/05/2014","Bird",5
"01/05/2015","Bird",10
"01/05/2016","Bird",12
"01/06/2014","Bird",8
"01/06/2015","Bird",4
"01/06/2016","Bird",8
"01/07/2014","Bird",5
"01/07/2015","Bird",3
"01/07/2016","Bird",7
"01/08/2014","Bird",6
"01/08/2015","Bird",1
"01/08/2016","Bird",6
"01/09/2014","Bird",8
"01/09/2015","Bird",3
"01/09/2016","Bird",7
"01/10/2013","Bird",0
"01/10/2014","Bird",1
"01/10/2015","Bird",8
"01/10/2016","Bird",3
"01/11/2013","Bird",3
"01/11/2014","Bird",0
"01/11/2015","Bird",4
"01/12/2013","Bird",2
"01/12/2014","Bird",7
"01/12/2015","Bird",0
"01/01/2014","Livestock",0
"01/01/2015","Livestock",0
"01/01/2016","Livestock",1
"01/02/2014","Livestock",0
"01/02/2015","Livestock",0
"01/02/2016","Livestock",0
"01/03/2014","Livestock",2
"01/03/2015","Livestock",0
"01/03/2016","Livestock",0
"01/04/2014","Livestock",0
"01/04/2015","Livestock",0
"01/04/2016","Livestock",0
"01/05/2014","Livestock",0
"01/05/2015","Livestock",1
"01/05/2016","Livestock",0
"01/06/2014","Livestock",1
"01/06/2015","Livestock",0
"01/06/2016","Livestock",0
"01/07/2014","Livestock",0
"01/07/2015","Livestock",0
"01/07/2016","Livestock",0
"01/08/2014","Livestock",0
"01/08/2015","Livestock",0
"01/08/2016","Livestock",0
"01/09/2014","Livestock",0
"01/09/2015","Livestock",0
"01/09/2016","Livestock",0
"01/10/2013","Livestock",1
"01/10/2014","Livestock",0
"01/10/2015","Livestock",0
"01/10/2016","Livestock",0
"01/11/2013","Livestock",1
"01/11/2014","Livestock",0
"01/11/2015","Livestock",0
"01/12/2013","Livestock",0
"01/12/2014","Livestock",0
"01/12/2015","Livestock",1
