source,target,value
Bird,BirthControlled,0
Cat,BirthControlled,5309
Dog,BirthControlled,19258
Livestock,BirthControlled,1
OtherType,BirthControlled,47
Bird,Intact,105
Cat,Intact,15341
Dog,Intact,22339
Livestock,Intact,4
OtherType,Intact,344
Bird,Unknown.,123
Cat,Unknown.,2105
Dog,Unknown.,160
Livestock,Unknown.,2
OtherType,Unknown.,2675
BirthControlled,IntactFemale,0
Intact,IntactFemale,18282
Unknown.,IntactFemale,0
BirthControlled,IntactMale,0
Intact,IntactMale,19851
Unknown.,IntactMale,0
BirthControlled,NeuteredMale,13227
Intact,NeuteredMale,0
Unknown.,NeuteredMale,0
BirthControlled,SpayedFemale,11388
Intact,SpayedFemale,0
Unknown.,SpayedFemale,0
BirthControlled,Unknown,0
Intact,Unknown,0
Unknown.,Unknown,5065
IntactFemale,< 1 Year Old,13503
IntactMale,< 1 Year Old,13884
NeuteredMale,< 1 Year Old,3809
SpayedFemale,< 1 Year Old,3593
Unknown,< 1 Year Old,4078
IntactFemale,> 6 Years Old,584
IntactMale,> 6 Years Old,701
NeuteredMale,> 6 Years Old,2581
SpayedFemale,> 6 Years Old,2279
Unknown,> 6 Years Old,27
IntactFemale,1-3 Years Old,3324
IntactMale,1-3 Years Old,4085
NeuteredMale,1-3 Years Old,3935
SpayedFemale,1-3 Years Old,3335
Unknown,1-3 Years Old,888
IntactFemale,3-6 Years Old,871
IntactMale,3-6 Years Old,1181
NeuteredMale,3-6 Years Old,2902
SpayedFemale,3-6 Years Old,2181
Unknown,3-6 Years Old,72
< 1 Year Old,Black,3494
> 6 Years Old,Black,421
1-3 Years Old,Black,890
3-6 Years Old,Black,428
< 1 Year Old,BlacknWhite,4363
> 6 Years Old,BlacknWhite,607
1-3 Years Old,BlacknWhite,1631
3-6 Years Old,BlacknWhite,656
< 1 Year Old,Brown,4260
> 6 Years Old,Brown,386
1-3 Years Old,Brown,1100
3-6 Years Old,Brown,357
< 1 Year Old,BrownnWhite,1068
> 6 Years Old,BrownnWhite,246
1-3 Years Old,BrownnWhite,818
3-6 Years Old,BrownnWhite,289
< 1 Year Old,OtherColor,23596
> 6 Years Old,OtherColor,3998
1-3 Years Old,OtherColor,9748
3-6 Years Old,OtherColor,4679
< 1 Year Old,TannWhite,1112
> 6 Years Old,TannWhite,189
1-3 Years Old,TannWhite,635
3-6 Years Old,TannWhite,370
< 1 Year Old,White,974
> 6 Years Old,White,325
1-3 Years Old,White,745
3-6 Years Old,White,428
Black,Incoming,5233
BlacknWhite,Incoming,7257
Brown,Incoming,6103
BrownnWhite,Incoming,2421
OtherColor,Incoming,42021
TannWhite,Incoming,2306
White,Incoming,2472
Incoming,Other,8
Incoming,Adoption,28041
Incoming,Died,497
Incoming,Disposal,223
Incoming,Euthanasia,5025
Incoming,Missing,45
Incoming,Relocate,13
Incoming,ReturnToOwner,14926
Incoming,Transfer,19035
Other,Outgoing,8
Adoption,Outgoing,28041
Died,Outgoing,497
Disposal,Outgoing,223
Euthanasia,Outgoing,5025
Missing,Outgoing,45
Relocate,Outgoing,13
ReturnToOwner,Outgoing,14926
Transfer,Outgoing,19035
Outgoing,.< 1 Year Old,38948
Outgoing,.> 6 Years Old,6277
Outgoing,.1-3 Years Old,15386
Outgoing,.3-6 Years Old,7202
.< 1 Year Old,.BirthControlled,24804
.> 6 Years Old,.BirthControlled,5339
.1-3 Years Old,.BirthControlled,12107
.3-6 Years Old,.BirthControlled,6368
.< 1 Year Old,.Intact,10017
.> 6 Years Old,.Intact,911
.1-3 Years Old,.Intact,2440
.3-6 Years Old,.Intact,762
.< 1 Year Old,.Unknown.,4127
.> 6 Years Old,.Unknown.,27
.1-3 Years Old,.Unknown.,839
.3-6 Years Old,.Unknown.,72
